0.405504,0.038176,2.336768,0.337056,0.048704,0.046080
0.367776,0.030560,2.336800,0.335872,0.053600,0.046592
0.343904,0.002624,2.336448,0.341408,0.096352,0.040928
0.485440,0.065792,2.343232,0.336416,0.139232,0.068832
0.419392,0.008992,2.344512,0.336064,0.139424,0.034048
0.447776,0.059648,2.336928,0.336096,0.120832,0.049312
0.423808,0.057600,2.337120,0.337184,0.126304,0.039008
0.478720,0.057088,2.338880,0.336192,0.092640,0.025728
0.377504,0.008480,2.337216,0.337728,0.051200,0.024864
0.463776,0.008896,2.342144,0.336384,0.138144,0.030432
0.361152,0.106688,2.336768,0.337312,0.053376,0.026272
0.453824,0.038720,2.338720,0.337696,0.060448,0.026592
0.392768,0.031520,2.338720,0.342176,0.174080,0.028416
0.447616,0.048320,2.342688,0.342016,0.058080,0.031360
0.521152,0.017696,2.338816,0.337760,0.085952,0.028128
0.573568,0.043904,2.338304,0.337856,0.075616,0.035072
0.544800,0.055200,2.336544,0.354272,0.121856,0.254976
0.396608,0.027392,2.336768,0.336800,0.049472,0.047136
0.365696,0.078752,2.336480,0.352256,0.122752,0.026176
0.351328,0.022816,2.337024,0.337120,0.047168,0.044896
0.403904,0.027616,2.336992,0.341728,0.047104,0.025248
0.556160,0.033120,2.341536,0.335872,0.063328,0.044768
0.530848,0.009920,2.337184,0.336640,0.064064,0.045952
0.417120,0.078304,2.336608,0.336192,0.050688,0.026752
0.502784,0.072160,2.337408,0.336320,0.056832,0.045696
0.409440,0.038336,2.338080,0.337504,0.049504,0.044992
0.385696,0.029792,2.336544,0.336352,0.046720,0.044352
0.414880,0.023168,2.336896,0.336000,0.064800,0.045152
0.373536,0.027520,2.337024,0.337184,0.045216,0.043296
0.404672,0.021440,2.342688,0.335872,0.069888,0.046624
0.350752,0.002528,2.336768,0.336608,0.061984,0.044992
0.338848,0.020736,2.338048,0.336928,0.050304,0.026592
0.377984,0.024992,2.338368,0.336704,0.049952,0.044640
0.460000,0.029408,2.338880,0.386848,0.069632,0.025408
